Jmin,n,l,a,actfn
0.055873215198516846,2,2,31.41592653589793,relu
0.0425294041633606,4,2,31.41592653589793,relu
0.05333787575364113,8,2,31.41592653589793,relu
0.009885371662676334,16,2,31.41592653589793,relu
0.0072131287306547165,32,2,31.41592653589793,relu
0.009048933163285255,64,2,31.41592653589793,relu
0.005594605579972267,128,2,31.41592653589793,relu
0.0009745451388880609,256,2,31.41592653589793,relu
0.05587044730782509,1,4,31.41592653589793,relu
0.034252654761075974,2,4,31.41592653589793,relu
0.05585875734686852,4,4,31.41592653589793,relu
0.0012557029258459806,8,4,31.41592653589793,relu
0.0005490885814651847,16,4,31.41592653589793,relu
0.00023379466438200325,32,4,31.41592653589793,relu
3.373991421540268e-05,64,4,31.41592653589793,relu
0.0020994795486330986,128,4,31.41592653589793,relu
1.052170500770444e-05,256,4,31.41592653589793,relu
0.05587002635002136,1,8,31.41592653589793,relu
0.05587933957576752,2,8,31.41592653589793,relu
0.05587306618690491,4,8,31.41592653589793,relu
0.00010980135994032024,8,8,31.41592653589793,relu
8.246084325946867e-05,16,8,31.41592653589793,relu
5.636240894091316e-05,32,8,31.41592653589793,relu
0.00013655945076607168,64,8,31.41592653589793,relu
6.803000724175945e-05,128,8,31.41592653589793,relu
0.003230410860851407,256,8,31.41592653589793,relu
0.05587148293852806,1,16,31.41592653589793,relu
0.055875420570373535,2,16,31.41592653589793,relu
0.05587499961256981,4,16,31.41592653589793,relu
0.05587586760520935,8,16,31.41592653589793,relu
0.055853433907032006,16,16,31.41592653589793,relu
0.05585368350148201,32,16,31.41592653589793,relu
0.055858414620161057,64,16,31.41592653589793,relu
0.055870246142148965,128,16,31.41592653589793,relu
0.05587418749928474,256,16,31.41592653589793,relu
0.05587130412459373,1,32,31.41592653589793,relu
0.05588711798191071,2,32,31.41592653589793,relu
0.05585990101099014,4,32,31.41592653589793,relu
0.0558803640305996,8,32,31.41592653589793,relu
0.05586587265133858,16,32,31.41592653589793,relu
0.05586909502744675,32,32,31.41592653589793,relu
0.05595714971423149,64,32,31.41592653589793,relu
0.05587783455848694,128,32,31.41592653589793,relu
0.05586859583854675,256,32,31.41592653589793,relu
0.05589086934924126,1,64,31.41592653589793,relu
0.05587777495384216,2,64,31.41592653589793,relu
0.05586057901382446,4,64,31.41592653589793,relu
0.05589797347784042,8,64,31.41592653589793,relu
0.05589062720537186,16,64,31.41592653589793,relu
0.05586713552474976,32,64,31.41592653589793,relu
0.05587023496627808,64,64,31.41592653589793,relu
0.055867746472358704,128,64,31.41592653589793,relu
0.05585989728569984,256,64,31.41592653589793,relu
0.05585338175296784,1,1,31.41592653589793,sigmoid
0.055878769606351845,2,1,31.41592653589793,sigmoid
0.05586287751793861,4,1,31.41592653589793,sigmoid
0.05607692152261735,8,1,31.41592653589793,sigmoid
0.05600667372345924,16,1,31.41592653589793,sigmoid
0.056033458560705185,32,1,31.41592653589793,sigmoid
0.056069664657115936,64,1,31.41592653589793,sigmoid
0.05686599761247634,128,1,31.41592653589793,sigmoid
0.056884784251451485,256,1,31.41592653589793,sigmoid
0.05596263334155083,1,2,31.41592653589793,sigmoid
0.055909037590026855,2,2,31.41592653589793,sigmoid
0.05594392493367195,4,2,31.41592653589793,sigmoid
0.05598815158009529,8,2,31.41592653589793,sigmoid
0.05609181523323059,16,2,31.41592653589793,sigmoid
0.05695720389485359,32,2,31.41592653589793,sigmoid
0.05708128213882446,64,2,31.41592653589793,sigmoid
0.05754160135984421,128,2,31.41592653589793,sigmoid
0.06114549934864044,256,2,31.41592653589793,sigmoid
0.05586973950266838,1,4,31.41592653589793,sigmoid
0.05595395341515541,2,4,31.41592653589793,sigmoid
0.05586899071931839,4,4,31.41592653589793,sigmoid
0.05589300021529198,8,4,31.41592653589793,sigmoid
0.05645587295293808,16,4,31.41592653589793,sigmoid
0.05623430758714676,32,4,31.41592653589793,sigmoid
0.0559825487434864,64,4,31.41592653589793,sigmoid
0.057180833071470254,128,4,31.41592653589793,sigmoid
0.05865545570850372,256,4,31.41592653589793,sigmoid
0.05586335062980652,1,8,31.41592653589793,sigmoid
0.055974982678890235,2,8,31.41592653589793,sigmoid
0.05599550157785416,4,8,31.41592653589793,sigmoid
0.05599303171038628,8,8,31.41592653589793,sigmoid
0.05604902282357216,16,8,31.41592653589793,sigmoid
0.05632766708731651,32,8,31.41592653589793,sigmoid
0.056399311870336526,64,8,31.41592653589793,sigmoid
0.05647004395723343,128,8,31.41592653589793,sigmoid
0.06020244210958481,256,8,31.41592653589793,sigmoid
0.05585755407810211,1,16,31.41592653589793,sigmoid
0.05584704503417015,2,16,31.41592653589793,sigmoid
0.05596686899662018,4,16,31.41592653589793,sigmoid
0.05646933987736701,8,16,31.41592653589793,sigmoid
0.05625706538558006,16,16,31.41592653589793,sigmoid
0.0564345121383667,32,16,31.41592653589793,sigmoid
0.05724768340587616,64,16,31.41592653589793,sigmoid
0.05808280035853386,128,16,31.41592653589793,sigmoid
0.057505492120981216,256,16,31.41592653589793,sigmoid
0.05585900321602821,1,32,31.41592653589793,sigmoid
0.05592989549040794,2,32,31.41592653589793,sigmoid
0.055968072265386574,4,32,31.41592653589793,sigmoid
0.055888988077640527,8,32,31.41592653589793,sigmoid
0.05600280687212944,16,32,31.41592653589793,sigmoid
0.056388627737760544,32,32,31.41592653589793,sigmoid
0.05704835429787636,64,32,31.41592653589793,sigmoid
0.05711688846349716,128,32,31.41592653589793,sigmoid
0.061556991189718246,256,32,31.41592653589793,sigmoid
0.05587475746870041,1,64,31.41592653589793,sigmoid
0.05592932924628258,2,64,31.41592653589793,sigmoid
0.05589086189866065,4,64,31.41592653589793,sigmoid
0.05600297823548317,8,64,31.41592653589793,sigmoid
0.056236788630485535,16,64,31.41592653589793,sigmoid
0.05659075081348419,32,64,31.41592653589793,sigmoid
0.058157775551080704,64,64,31.41592653589793,sigmoid
0.056181356310844414,128,64,31.41592653589793,sigmoid
0.05657743290066719,256,64,31.41592653589793,sigmoid
0.11375018209218977,1,1,6.283185307179586,sigmoid
0.1093502715229988,1,2,6.283185307179586,sigmoid
0.11935501545667648,1,4,6.283185307179586,sigmoid
0.11950724571943284,1,8,6.283185307179586,sigmoid
0.11953283101320265,1,16,6.283185307179586,sigmoid
0.1195063069462776,1,32,6.283185307179586,sigmoid
0.11950514465570448,1,64,6.283185307179586,sigmoid
0.118584044277668,2,1,6.283185307179586,sigmoid
0.11283931136131287,2,2,6.283185307179586,sigmoid
0.11948008835315704,2,4,6.283185307179586,sigmoid
0.11952270567417143,2,8,6.283185307179586,sigmoid
0.11949030309915543,2,16,6.283185307179586,sigmoid
0.11960431188344955,2,32,6.283185307179586,sigmoid
0.11957088112831116,2,64,6.283185307179586,sigmoid
0.112506665289402,4,1,6.283185307179586,sigmoid
0.1128234714269638,4,2,6.283185307179586,sigmoid
0.09543871879577635,4,4,6.283185307179586,sigmoid
0.1196991577744484,4,8,6.283185307179586,sigmoid
0.11993440985679626,4,16,6.283185307179586,sigmoid
0.11966316401958464,4,32,6.283185307179586,sigmoid
0.11962830275297164,4,64,6.283185307179586,sigmoid
0.11535415798425674,8,1,6.283185307179586,sigmoid
0.11475449800491332,8,2,6.283185307179586,sigmoid
0.09121106564998625,8,4,6.283185307179586,sigmoid
0.08040972054004669,8,8,6.283185307179586,sigmoid
0.11967187374830245,8,16,6.283185307179586,sigmoid
0.12004003673791884,8,32,6.283185307179586,sigmoid
0.11960713565349577,8,64,6.283185307179586,sigmoid
0.11484666168689728,16,1,6.283185307179586,sigmoid
0.11448670923709868,16,2,6.283185307179586,sigmoid
0.1071367785334587,16,4,6.283185307179586,sigmoid
0.08058593422174452,16,8,6.283185307179586,sigmoid
0.11975201964378356,16,16,6.283185307179586,sigmoid
0.12009268999099731,16,32,6.283185307179586,sigmoid
0.12002136558294296,16,64,6.283185307179586,sigmoid
0.11548533290624619,32,1,6.283185307179586,sigmoid
0.11557048559188841,32,2,6.283185307179586,sigmoid
0.0030397055670619007,32,4,6.283185307179586,sigmoid
0.04066477715969086,32,8,6.283185307179586,sigmoid
0.12013423442840576,32,16,6.283185307179586,sigmoid
0.11988790333271027,32,32,6.283185307179586,sigmoid
0.12141776084899902,32,64,6.283185307179586,sigmoid
0.11746543645858765,64,1,6.283185307179586,sigmoid
0.11601405590772627,64,2,6.283185307179586,sigmoid
0.0007888069958426057,64,4,6.283185307179586,sigmoid
0.00039014301728457207,64,8,6.283185307179586,sigmoid
0.12043149769306181,64,16,6.283185307179586,sigmoid
0.11973075568675993,64,32,6.283185307179586,sigmoid
0.12166787683963776,64,64,6.283185307179586,sigmoid
0.11691492795944212,128,1,6.283185307179586,sigmoid
0.12055354565382004,128,2,6.283185307179586,sigmoid
9.969384700525552e-05,128,4,6.283185307179586,sigmoid
0.08527415990829468,128,8,6.283185307179586,sigmoid
0.12047036737203598,128,16,6.283185307179586,sigmoid
0.12353911995887756,128,32,6.283185307179586,sigmoid
0.1233125627040863,128,64,6.283185307179586,sigmoid
0.1172097995877266,256,1,6.283185307179586,sigmoid
0.11963799595832823,256,2,6.283185307179586,sigmoid
2.6795787562150508e-05,256,4,6.283185307179586,sigmoid
0.12321238964796066,256,8,6.283185307179586,sigmoid
0.12381334602832794,256,16,6.283185307179586,sigmoid
0.121086448431015,256,32,6.283185307179586,sigmoid
0.12169497460126875,256,64,6.283185307179586,sigmoid
0.11375018209218977,1,1,6.283185307179586,sigmoid
0.1093502715229988,1,2,6.283185307179586,sigmoid
0.11935501545667648,1,4,6.283185307179586,sigmoid
0.11950724571943284,1,8,6.283185307179586,sigmoid
0.11953283101320265,1,16,6.283185307179586,sigmoid
0.1195063069462776,1,32,6.283185307179586,sigmoid
0.11950514465570448,1,64,6.283185307179586,sigmoid
0.118584044277668,2,1,6.283185307179586,sigmoid
0.11283931136131287,2,2,6.283185307179586,sigmoid
0.11948008835315704,2,4,6.283185307179586,sigmoid
0.11952270567417143,2,8,6.283185307179586,sigmoid
0.11949030309915543,2,16,6.283185307179586,sigmoid
0.11960431188344955,2,32,6.283185307179586,sigmoid
0.11957088112831116,2,64,6.283185307179586,sigmoid
0.112506665289402,4,1,6.283185307179586,sigmoid
0.1128234714269638,4,2,6.283185307179586,sigmoid
0.09543871879577635,4,4,6.283185307179586,sigmoid
0.1196991577744484,4,8,6.283185307179586,sigmoid
0.11993440985679626,4,16,6.283185307179586,sigmoid
0.11966316401958464,4,32,6.283185307179586,sigmoid
0.11962830275297164,4,64,6.283185307179586,sigmoid
0.11535415798425674,8,1,6.283185307179586,sigmoid
0.11475449800491332,8,2,6.283185307179586,sigmoid
0.09121106564998625,8,4,6.283185307179586,sigmoid
0.08040972054004669,8,8,6.283185307179586,sigmoid
0.11967187374830245,8,16,6.283185307179586,sigmoid
0.12004003673791884,8,32,6.283185307179586,sigmoid
0.11960713565349577,8,64,6.283185307179586,sigmoid
0.11484666168689728,16,1,6.283185307179586,sigmoid
0.11448670923709868,16,2,6.283185307179586,sigmoid
0.1071367785334587,16,4,6.283185307179586,sigmoid
0.08058593422174452,16,8,6.283185307179586,sigmoid
0.11975201964378356,16,16,6.283185307179586,sigmoid
0.12009268999099731,16,32,6.283185307179586,sigmoid
0.12002136558294296,16,64,6.283185307179586,sigmoid
